"FullName","Length"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\deploy\pc\levels\multi\ctf_breaker\ctf_breaker-rtx-new.module_hd1","242293486"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\preload\paks\06a_sentinelwalls.pck","242359372"
"C:\Program Files (x86)\Steam\steamapps\common\Hades\Content\Win\Packages\Fx.pkg","242648450"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock 2\SP\Content\BulkContent\DynamicBulkFileTexturesDLC4_1.blk","242696192"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham City GOTY\Setup\dotnetfx35.exe","242743296"
"C:\Program Files (x86)\Steam\steamapps\workshop\content\431960\1877256772\An Old World Radio Christmas.mp3","242747248"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\z05_cliffside.map","242974720"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo1\terminals\truth_and_reconciliation.bk2","243591504"
"C:\Program Files (x86)\Steam\steamapps\common\The Witcher 3\content\content4\collision.cache","244520530"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ff92_valhalla.map","244977664"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ff90_fortsw.map","245297152"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham City GOTY\BmGame\MoviesStereo\1_01.usm","245401856"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\haloreach\maps\cex_timberland.map","245518336"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCC\Audio\Packed\Windows\Packs\Japanese\CombinedStreaming_DLCC_LOC.pck","245608524"
"C:\Program Files (x86)\Steam\steamapps\common\Fallout New Vegas\Data\FalloutNV.esm","245650747"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\groundhog\maps\ca_forge_skybox02.map","246374400"
"C:\Program Files (x86)\Steam\steamapps\common\Grand Theft Auto V\x64\audio\sfx\RADIO_12_REGGAE.rpf","246528000"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ff86_sniperalley.map","247881728"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock 2\SP\Content\BulkContent\DynamicBulkFileTexturesDLC3_0.blk","248193024"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\prebuild\video\Ep_003_Return_to_Sender.bk2","248655600"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo1\terminals\the_library.bk2","248843100"
"C:\Program Files (x86)\Steam\steamapps\common\Borderlands 2\DLC\Anemone\Compat\Textures\Textures_anemone_ct.tfc","249115022"
"C:\Program Files (x86)\Steam\steamapps\common\Splitgate\PortalWars\Content\Paks\pakchunk65_s1-WindowsNoEditor.ucas","249639520"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ff82_scurve.map","249679872"
"C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim.esm","249753351"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCC\Audio\Packed\Windows\Packs\French(France)\CombinedStreaming_DLCC_LOC.pck","249766908"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\dlc01_factory.map","250032128"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\DLC\313101\Content\BmGame\CookedPCConsole\SFX\SFX_DLC_RedHood.wad","250032128"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\h2_maps_win64_dx11\sounds_sp.dat","250386304"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\dlc01_engine.map","250986496"
"C:\Program Files (x86)\Steam\steamapps\common\Splitgate\PortalWars\Content\Paks\pakchunk54_s2-WindowsNoEditor.ucas","251458704"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\BinkMovies\DC_7-Gauntlet.bik","251521848"
"C:\Program Files (x86)\Steam\steamapps\common\GodOfWar\exec\wad\pc_le\040_foothills_010.lodpack","251788680"
